Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
138.2,3,6.976,-4.374,0.459,0.0,1,453
138.2,4,12.191,8.286,0.322,0.0,1,464
138.2,5,11.018,4.632,1.036,0.0,1,472
138.2,6,nan,nan,nan,0.0,1,1
138.2,7,12.017,4.38,0.999,0.0,1,251
138.27,1,12.425,8.396,1.584,0.0,1,300
138.27,2,11.345,4.488,1.081,0.0,1,313
138.27,3,6.976,-4.374,0.459,0.0,1,453
138.27,4,12.191,8.286,0.322,0.0,1,464
138.27,5,11.018,4.632,1.036,0.0,1,472
138.27,6,nan,nan,nan,0.0,1,1
138.27,7,12.017,4.38,0.999,0.0,1,251
138.37,1,12.425,8.396,1.584,0.0,1,300
138.37,2,11.345,4.488,1.081,0.0,1,313
138.37,1,12.425,8.396,1.584,0.0,1,300
138.37,2,11.345,4.488,1.081,0.0,1,313
138.37,3,6.976,-4.374,0.459,0.0,1,453
138.37,3,6.976,-4.374,0.459,0.0,1,453
138.37,4,12.191,8.286,0.322,0.0,1,464
138.37,4,12.191,8.286,0.322,0.0,1,464
138.37,5,11.018,4.632,1.036,0.0,1,473
138.37,5,11.018,4.632,1.036,0.0,1,472
138.37,6,nan,nan,nan,0.0,1,1
138.37,7,12.017,4.38,0.999,0.0,1,251
138.37,6,nan,nan,nan,0.0,1,509
138.37,7,12.017,4.38,0.999,0.0,1,251
138.44,1,12.425,8.396,1.584,0.0,1,300
138.44,2,11.345,4.488,1.081,0.0,1,313
138.44,3,6.976,-4.374,0.459,0.0,1,453
138.44,4,12.191,8.286,0.322,0.0,1,464
138.44,5,11.018,4.632,1.036,0.0,1,472
138.44,6,nan,nan,nan,0.0,1,512
138.5,1,12.425,8.396,1.584,0.0,1,300
138.44,7,12.017,4.38,0.999,0.0,1,251
138.5,2,11.345,4.488,1.081,0.0,1,313
138.47,1,12.425,8.396,1.584,0.0,1,300
138.5,3,6.976,-4.374,0.459,0.0,1,453
138.47,2,11.345,4.488,1.081,0.0,1,313
138.5,4,12.191,8.286,0.322,0.0,1,464
138.47,3,6.976,-4.374,0.459,0.0,1,453
138.5,5,11.018,4.632,1.036,0.0,1,473
138.47,4,12.191,8.286,0.322,0.0,1,464
138.5,6,nan,nan,nan,0.0,1,1
138.47,5,11.018,4.632,1.036,0.0,1,472
138.5,7,12.017,4.38,0.999,0.0,1,251
138.47,6,nan,nan,nan,0.0,1,512
138.47,7,12.017,4.38,0.999,0.0,1,251
138.5,1,12.425,8.396,1.584,0.0,1,300
138.5,2,11.345,4.488,1.081,0.0,1,313
138.5,3,6.976,-4.374,0.459,0.0,1,453
138.5,4,12.191,8.286,0.322,0.0,1,464
138.5,5,11.018,4.632,1.036,0.0,1,473
138.5,6,nan,nan,nan,0.0,1,511
138.5,7,12.017,4.38,0.999,0.0,1,251
138.63,1,12.425,8.396,1.584,0.0,1,300
138.63,2,11.345,4.488,1.081,0.0,1,313
138.63,3,6.976,-4.374,0.459,0.0,1,453
138.63,4,12.191,8.286,0.322,0.0,1,464
138.63,5,11.018,4.632,1.036,0.0,1,473
138.63,6,nan,nan,nan,0.0,1,510
138.63,7,12.017,4.38,0.999,0.0,1,251
138.67,1,12.425,8.396,1.584,0.0,1,300
138.67,2,11.345,4.488,1.081,0.0,1,313
138.67,1,12.425,8.396,1.584,0.0,1,300
138.67,3,6.976,-4.374,0.459,0.0,1,453
138.67,2,11.345,4.488,1.081,0.0,1,313
138.67,4,12.191,8.286,0.322,0.0,1,464
138.67,3,6.976,-4.374,0.459,0.0,1,453
138.67,4,12.191,8.286,0.322,0.0,1,464
138.67,5,11.018,4.632,1.036,0.0,1,473
138.67,5,11.018,4.632,1.036,0.0,1,473
138.67,6,nan,nan,nan,0.0,1,1
138.67,7,12.017,4.38,0.999,0.0,1,251
138.67,6,nan,nan,nan,0.0,1,511
138.67,7,12.017,4.38,0.999,0.0,1,251
138.76,1,12.425,8.396,1.584,0.0,1,300
138.76,2,11.345,4.488,1.081,0.0,1,313
138.76,3,6.976,-4.374,0.459,0.0,1,453
138.76,4,12.191,8.286,0.322,0.0,1,464
138.76,5,11.018,4.632,1.036,0.0,1,473
138.76,6,nan,nan,nan,0.0,1,1
138.76,7,12.017,4.38,0.999,0.0,1,251
138.83,1,12.425,8.396,1.584,0.0,1,300
138.83,2,11.345,4.488,1.081,0.0,1,313
138.83,3,6.976,-4.374,0.459,0.0,1,453
138.83,4,12.191,8.286,0.322,0.0,1,464
138.83,5,11.018,4.632,1.036,0.0,1,473
138.83,6,nan,nan,nan,0.0,1,510
138.83,7,12.017,4.38,0.999,0.0,1,251
138.86,1,12.425,8.396,1.584,0.0,1,300
138.86,1,12.425,8.396,1.584,0.0,1,300
138.86,2,11.345,4.488,1.081,0.0,1,313
138.86,2,11.345,4.488,1.081,0.0,1,313
138.86,3,6.976,-4.374,0.459,0.0,1,453
138.86,3,6.976,-4.374,0.459,0.0,1,453
138.86,4,12.191,8.286,0.322,0.0,1,464
138.86,4,12.191,8.286,0.322,0.0,1,464
138.86,5,11.018,4.632,1.036,0.0,1,473
138.86,5,11.018,4.632,1.036,0.0,1,473
138.86,6,nan,nan,nan,0.0,1,1
138.86,7,12.017,4.38,0.999,0.0,1,251
138.86,6,nan,nan,nan,0.0,1,513
138.86,7,12.017,4.38,0.999,0.0,1,251
138.93,1,12.425,8.396,1.584,0.0,1,300
138.93,1,12.425,8.396,1.584,0.0,1,300
138.93,2,11.345,4.488,1.081,0.0,1,313
138.93,2,11.345,4.488,1.081,0.0,1,313
138.93,3,6.976,-4.374,0.459,0.0,1,453
138.93,4,12.191,8.286,0.322,0.0,1,464
138.93,3,6.976,-4.374,0.459,0.0,1,453
138.93,5,11.018,4.632,1.036,0.0,1,473
138.93,4,12.191,8.286,0.322,0.0,1,464
138.93,6,nan,nan,nan,0.0,1,1
138.93,5,11.018,4.632,1.036,0.0,1,473
138.93,7,12.017,4.38,0.999,0.0,1,251
138.93,6,nan,nan,nan,0.0,1,510
138.93,7,12.017,4.38,0.999,0.0,1,251
139.0,1,12.425,8.396,1.584,0.0,1,300
139.0,2,11.345,4.488,1.081,0.0,1,313
139.0,3,6.976,-4.374,0.459,0.0,1,453
139.0,4,12.191,8.286,0.322,0.0,1,464
139.0,5,11.018,4.632,1.036,0.0,1,473
139.0,6,nan,nan,nan,0.0,1,510
139.0,7,12.017,4.38,0.999,0.0,1,251
139.03,1,12.425,8.396,1.584,0.0,1,300
139.03,2,11.345,4.488,1.081,0.0,1,313
139.03,3,6.976,-4.374,0.459,0.0,1,453
139.03,4,12.191,8.286,0.322,0.0,1,464
139.03,5,11.018,4.632,1.036,0.0,1,473
139.03,6,nan,nan,nan,0.0,1,512
139.03,7,12.017,4.38,0.999,0.0,1,251
139.13,1,12.425,8.396,1.584,0.0,1,300
139.13,2,11.345,4.488,1.081,0.0,1,313
139.13,3,6.976,-4.374,0.459,0.0,1,453
139.13,4,12.191,8.286,0.322,0.0,1,464
139.13,5,11.018,4.632,1.036,0.0,1,472
139.13,6,nan,nan,nan,0.0,1,511
139.13,7,12.017,4.38,0.999,0.0,1,251
139.23,1,12.425,8.396,1.584,0.0,1,300
139.23,2,11.345,4.488,1.081,0.0,1,313
139.23,3,6.976,-4.374,0.459,0.0,1,453
139.23,4,12.191,8.286,0.322,0.0,1,464
139.23,5,11.018,4.632,1.036,0.0,1,473
139.23,6,nan,nan,nan,0.0,1,511
139.23,7,12.017,4.38,0.999,0.0,1,251
139.26,1,12.425,8.396,1.584,0.49,0,314
139.26,2,11.345,4.488,1.081,0.26,0,326
139.26,3,6.976,-4.374,0.459,2.99,0,465
139.26,4,12.191,8.286,0.322,0.85,0,471
139.26,5,11.018,4.632,1.036,0.53,0,511
139.26,6,nan,nan,nan,nan,1,1
139.26,7,12.017,4.38,0.999,0.17,0,257
139.26,1,12.425,8.396,1.584,0.0,1,300
139.26,2,11.345,4.488,1.081,0.0,1,313
139.26,3,6.976,-4.374,0.459,0.0,1,453
139.26,4,12.191,8.286,0.322,0.0,1,464
139.26,5,11.018,4.632,1.036,0.0,1,472
139.26,6,nan,nan,nan,0.0,1,509
139.26,7,12.017,4.38,0.999,0.0,1,251
139.29,1,12.425,8.396,1.584,0.0,1,300
139.29,2,11.345,4.488,1.081,0.0,1,313
139.29,3,6.976,-4.374,0.459,0.0,1,453
139.29,4,12.191,8.286,0.322,0.0,1,464
139.29,5,11.018,4.632,1.036,0.0,1,472
139.29,6,nan,nan,nan,0.0,1,512
139.29,7,12.017,4.38,0.999,0.0,1,251
139.39,1,12.425,8.396,1.584,0.0,1,300
139.39,1,12.425,8.396,1.584,0.0,1,300
139.39,2,11.345,4.488,1.081,0.0,1,313
139.39,2,11.345,4.488,1.081,0.0,1,313
139.39,3,6.976,-4.374,0.459,0.0,1,453
139.39,3,6.976,-4.374,0.459,0.0,1,453
139.39,4,12.191,8.286,0.322,0.0,1,464
139.39,4,12.191,8.286,0.322,0.0,1,464
139.39,5,11.018,4.632,1.036,0.0,1,472
139.39,5,11.018,4.632,1.036,0.0,1,472
139.39,6,nan,nan,nan,0.0,1,1
139.39,7,12.017,4.38,0.999,0.0,1,251
139.39,6,nan,nan,nan,0.0,1,512
139.39,7,12.017,4.38,0.999,0.0,1,251
139.43,1,12.425,8.396,1.584,0.0,1,300
139.43,2,11.345,4.488,1.081,0.0,1,313
139.43,3,6.976,-4.374,0.459,0.0,1,453
139.43,4,12.191,8.286,0.322,0.0,1,464
139.43,5,11.018,4.632,1.036,0.0,1,472
139.43,6,nan,nan,nan,0.0,1,1
139.43,7,12.017,4.38,0.999,0.0,1,251
139.46,1,12.425,8.396,1.584,0.0,1,300
139.46,2,11.345,4.488,1.081,0.0,1,313
139.46,3,6.976,-4.374,0.459,0.0,1,453
139.46,4,12.191,8.286,0.322,0.0,1,464
139.46,5,11.018,4.632,1.036,0.0,1,472
139.46,6,nan,nan,nan,0.0,1,1
139.46,7,12.017,4.38,0.999,0.0,1,251
139.49,1,12.425,8.396,1.584,0.0,1,300
139.49,1,12.425,8.396,1.584,0.0,1,300
139.49,2,11.345,4.488,1.081,0.0,1,313
139.49,3,6.976,-4.374,0.459,0.0,1,453
139.49,2,11.345,4.488,1.081,0.0,1,313
139.49,4,12.191,8.286,0.322,0.0,1,464
139.49,3,6.976,-4.374,0.459,0.0,1,453
139.49,5,11.018,4.632,1.036,0.0,1,472
139.49,4,12.191,8.286,0.322,0.0,1,464
139.49,6,nan,nan,nan,0.0,1,1
139.49,5,11.018,4.632,1.036,0.0,1,472
139.49,7,12.017,4.38,0.999,0.0,1,251
139.49,6,nan,nan,nan,0.0,1,510
139.49,7,12.017,4.38,0.999,0.0,1,251
139.62,1,12.425,8.396,1.584,0.0,1,300
139.62,2,11.345,4.488,1.081,0.0,1,313
139.62,1,12.425,8.396,1.584,0.0,1,300
139.62,3,6.976,-4.374,0.459,0.0,1,453
139.62,2,11.345,4.488,1.081,0.0,1,313
139.62,4,12.191,8.286,0.322,0.0,1,464
139.62,5,11.018,4.632,1.036,0.0,1,473
139.62,3,6.976,-4.374,0.459,0.0,1,453
139.62,4,12.191,8.286,0.322,0.0,1,464
139.62,6,nan,nan,nan,0.0,1,509
139.62,7,12.017,4.38,0.999,0.0,1,251
139.62,5,11.018,4.632,1.036,0.0,1,472
139.62,6,nan,nan,nan,0.0,1,1
139.62,7,12.017,4.38,0.999,0.0,1,251
139.66,1,12.425,8.396,1.584,0.0,1,300
139.66,1,12.425,8.396,1.584,0.0,1,300
