Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
151.7,85,2.855,10.151,0.67,0.0,1,685
151.7,85,2.855,10.151,0.67,0.0,1,638
151.87,68,1.091,9.306,0.665,0.0,1,674
151.9,68,1.092,9.301,0.671,0.0,1,765
151.87,76,0.069,8.839,0.659,0.0,1,1617
151.9,76,0.071,8.829,0.659,0.0,1,1229
151.87,85,2.822,10.138,0.668,0.0,1,674
151.9,85,2.817,10.129,0.672,0.0,1,647
151.9,73,2.017,9.664,0.654,0.0,1,922
151.9,68,1.095,9.292,0.671,0.0,1,938
151.9,76,0.074,8.819,0.659,0.0,1,1643
152.03,68,1.084,9.273,0.676,0.0,1,746
152.03,76,0.04,8.856,0.645,0.0,1,1157
151.9,85,2.82,10.119,0.672,0.0,1,656
151.9,73,2.021,9.654,0.654,0.0,1,877
152.03,68,1.1,9.148,0.659,0.0,1,1048
152.03,76,0.085,8.742,0.642,0.0,1,1742
152.03,85,2.797,10.029,0.666,0.0,1,669
152.23,76,-0.263,9.069,0.7,0.0,1,2217
152.23,76,-0.263,9.069,0.7,0.0,1,1388
152.23,68,0.866,9.145,0.652,0.0,1,691
152.23,68,0.866,9.145,0.652,0.0,1,1400
152.29,76,-0.471,9.111,0.717,0.0,1,2415
152.29,73,1.611,9.885,0.689,0.66,0,1195
152.29,76,-0.471,9.111,0.717,0.0,1,1411
152.29,73,1.611,9.885,0.689,0.7,0,1195
152.39,76,-0.744,9.033,0.72,0.0,1,2664
152.39,73,1.058,9.899,0.706,0.0,1,1259
152.49,76,-0.859,9.032,0.728,0.0,1,1765
152.49,76,-0.859,9.032,0.728,0.0,1,2922
152.49,87,-4.59,6.457,1.77,1.96,0,181
152.56,76,-0.935,8.941,0.733,0.0,1,2428
152.56,87,-4.91,6.179,1.79,0.0,1,256
152.56,73,0.201,9.042,0.664,6.22,0,840
152.59,76,-1.013,8.885,0.733,0.0,1,3513
152.59,73,0.006,8.998,0.67,0.0,1,1669
152.59,76,-0.784,8.971,0.733,0.0,1,2685
152.59,73,0.238,9.039,0.67,0.0,1,834
152.62,76,-0.884,8.941,0.74,0.0,1,3337
152.62,73,0.059,8.972,0.665,0.0,1,1783
160.08,156,2.714,-1.784,0.004,0.0,1,467
160.08,156,2.714,-1.784,0.004,0.0,1,467
160.35,156,2.63,-1.84,0.007,2.89,0,516
160.35,156,2.63,-1.84,0.007,2.89,0,516
160.35,161,0.012,-9.726,2.156,0.77,0,413
160.35,163,4.992,-0.494,1.667,0.43,0,200
160.35,161,0.012,-9.726,2.156,0.77,0,413
